"Name","Created","Runtime","End Time","Hostname","ID","Notes","State","Updated","Tags","arch.H_cycles","arch.hidden_size","arch.num_heads","checkpoint_path","lr","run_name","num_params","test.accuracy","test.exact_accuracy","test.q_halt_accuracy","test.steps","test/accuracy","test/cell_accuracy","train/lm_loss","train/lr"
"TinyRecursiveReasoningModel_ACTV1 calm-eagle","2025-12-03T21:30:59.000Z","13531","2025-12-04T01:16:30.000Z","dea94867be61","6d6wxr66","-","running","2025-12-04T01:16:30.000Z","","3","512","8","checkpoints/TRM-15x15/TinyRecursiveReasoningModel_ACTV1 calm-eagle","0.00003","TinyRecursiveReasoningModel_ACTV1 calm-eagle","6849538","0.5909890532493591","0.0011784732341766355","0.9988215565681458","16","0.0011784732224695562","0.590989190054268","4.109609603881836","0.000029577735915873916"
"TinyRecursiveReasoningModel_ACTV1 gainful-trogon","2025-12-03T19:23:59.000Z","6441","2025-12-03T21:11:20.000Z","dea94867be61","wfj57zyk","-","crashed","2025-12-03T21:11:20.000Z","","5","384","6","checkpoints/TRM-15x15/TinyRecursiveReasoningModel_ACTV1 gainful-trogon","0.0003","TinyRecursiveReasoningModel_ACTV1 gainful-trogon","3564290","0.5909890532493591","0.0011784732341766355","0.9988215565681458","16","0.0011784732224695562","0.590989190054268","3.462528944015503","0.00029875679511158054"
"TinyRecursiveReasoningModel_ACTV1 mustard-rooster","2025-12-03T10:52:22.000Z","1945","2025-12-03T11:24:47.000Z","ad49f63444a9","29zqx0lq","-","failed","2025-12-03T11:24:47.000Z","","5","384","6","checkpoints/TRM-15x15/TinyRecursiveReasoningModel_ACTV1 mustard-rooster","0.0003","TinyRecursiveReasoningModel_ACTV1 mustard-rooster","3564290","","","","","","","3.476901054382324","0.00029973861693462765"
"TinyRecursiveReasoningModel_ACTV1 azure-cat","2025-12-03T10:36:22.000Z","797","2025-12-03T10:49:39.000Z","ad49f63444a9","wym4ysur","-","crashed","2025-12-03T10:49:39.000Z","","5","384","6","checkpoints/TRM-15x15/TinyRecursiveReasoningModel_ACTV1 azure-cat","0.0003","TinyRecursiveReasoningModel_ACTV1 azure-cat","3564290","","","","","","","3.476901054382324","0.0002999569938877817"
